200	0.15	0.14	0.16	18.1	0.000825746	-61.66307186
250	0.14	0.16	0.16	18.08	0.000817728	-61.7478188
315	0.15	0.13	0.14	18.05	0.000593907	-64.52563006
400	0.69	0.2	0.17	18.01	0.000336241	-69.46699252
500	9.65	1.89	1	17.99	0.000599914	-64.43822052
630	7.79	2.09	3.26	17.93	0.001131293	-58.92849785
800	4.35	2.36	3.55	17.91	0.001490579	-56.53289848
1000	1.42	0.79	1.13	17.86	0.000762764	-62.35219639
1250	1.46	0.61	0.56	18.2	0.000412301	-67.69571769
