BEGIN_HEADER
END_HEADER
BEGIN_INFO
Sampling_frequency	2.56000e+004
Number_of_tracks	2 
Number_of_points	109311 
Track	1 	2 	
Name	Hammer	Accel X	
Magnitude	Force	Acceleration	
Unit	N	m/s²	
Coef_A	1.00000e+000	1.00000e+000	
Coef_B	0.00000e+000	0.00000e+000	
Type	ANALOG	ANALOG	
RangePeak	3.00000e+003	2.02253e+002	
Coupling	ICP	ICP	
END_INFO
BEGIN_DATA
9.51388e-002	3.50922e-006	
5.62654e-002	3.81233e-004	
9.67100e-002	-1.36209e-003	
1.01030e-001	-2.66957e-003	
7.55068e-002	1.28196e-003	
1.58752e-001	-1.73979e-003	
1.68961e-001	-3.83178e-003	
8.17903e-002	-1.44923e-003	
8.68952e-002	-2.32089e-003	
8.49322e-002	3.52208e-004	
1.02995e-001	6.16573e-005	
7.94355e-002	5.55603e-004	
4.29181e-002	2.21176e-003	
7.55095e-002	-2.49520e-003	
9.27870e-002	-1.82693e-003	
1.34693e-002	-2.58236e-003	
5.78405e-002	-1.12959e-003	
9.43585e-002	1.34012e-003	
7.39403e-002	1.77595e-003	
9.12178e-002	8.46187e-004	
1.55615e-001	7.29969e-004	
1.17134e-001	1.36919e-003	
1.31270e-001	-1.68162e-003	
1.18705e-001	-8.09954e-004	
1.77213e-001	1.60164e-003	
1.10067e-001	9.33373e-004	
1.15958e-001	8.17157e-004	
1.54439e-001	-1.47821e-003	
1.32843e-001	-1.44915e-003	
1.85460e-001	-9.26154e-004	
9.82890e-002	-3.04719e-003	
1.95277e-001	-2.20458e-003	
9.78970e-002	-1.42008e-003	
8.37614e-002	3.26876e-005	
9.43636e-002	1.63074e-003	
2.08236e-001	-8.09910e-004	
1.71719e-001	-1.68157e-003	
1.22244e-001	-1.79778e-003	
1.15569e-001	5.84759e-004	
7.90512e-002	1.42737e-003	
1.22637e-001	2.56053e-003	
1.04575e-001	4.97604e-004	
1.34025e-001	-3.13431e-003	
1.19889e-001	-3.39581e-003	
9.71152e-002	2.15377e-003	
9.00476e-002	-1.24570e-003	
1.19105e-001	1.36928e-003	
7.90536e-002	-1.24570e-003	
9.59384e-002	-1.15853e-003	
1.20677e-001	-6.35525e-004	
9.16197e-002	-4.61189e-004	
1.42666e-001	-1.15851e-003	
1.44630e-001	9.04419e-004	
1.20285e-001	3.37413e-003	
1.29317e-001	1.48553e-003	
1.07720e-001	1.48991e-004	
1.03794e-001	8.17269e-004	
