BEGIN_HEADER
END_HEADER
BEGIN_INFO
Sampling_frequency	2.56000e+004
Number_of_tracks	2 
Number_of_points	139264 
Track	1 	2 	
Name	Hammer	Accel X	
Magnitude	Force	Acceleration	
Unit	N	m/s²	
Coef_A	1.00000e+000	1.00000e+000	
Coef_B	0.00000e+000	0.00000e+000	
Type	ANALOG	ANALOG	
RangePeak	3.00000e+003	2.02253e+002	
Coupling	ICP	ICP	
END_INFO
BEGIN_DATA
1.62549e-001	6.00366e-003	
2.04955e-001	4.14405e-003	
1.57835e-001	4.63791e-003	
1.28384e-001	6.17777e-003	
6.86978e-002	2.80728e-003	
-3.55333e-003	1.18010e-003	
6.94810e-002	6.09038e-003	
1.59793e-001	4.28888e-003	
1.66467e-001	4.14353e-003	
1.40943e-001	8.61798e-003	
8.83246e-002	5.91575e-003	
1.37799e-001	6.29340e-003	
1.92378e-001	3.35873e-003	
1.39368e-001	3.73638e-003	
1.18163e-001	6.06073e-003	
1.67637e-001	3.06796e-003	
1.29940e-001	4.43348e-003	
1.18552e-001	2.95159e-003	
1.05200e-001	5.50838e-003	
1.42502e-001	7.01919e-003	
1.32292e-001	7.51305e-003	
1.50354e-001	4.75272e-003	
1.33468e-001	5.33375e-003	
1.10692e-001	5.56612e-003	
1.38963e-001	4.20045e-003	
1.55061e-001	5.33353e-003	
1.46814e-001	4.43274e-003	
1.37782e-001	6.00165e-003	
1.80581e-001	3.64809e-003	
1.54664e-001	4.43251e-003	
1.57019e-001	3.99661e-003	
1.19715e-001	4.72292e-003	
1.14217e-001	6.61144e-003	
1.84895e-001	6.93098e-003	
1.24031e-001	3.73481e-003	
1.35417e-001	6.98894e-003	
1.60939e-001	6.43681e-003	
1.52300e-001	5.10019e-003	
1.72717e-001	5.91367e-003	
1.77428e-001	4.86760e-003	
2.08447e-001	6.75613e-003	
2.26116e-001	4.57690e-003	
2.11194e-001	4.69304e-003	
2.30041e-001	6.81401e-003	
2.38286e-001	6.00039e-003	
2.32787e-001	5.44826e-003	
2.09619e-001	9.08011e-003	
2.09225e-001	7.65632e-003	
1.86450e-001	6.20348e-003	
1.96265e-001	7.01695e-003	
1.93908e-001	6.26144e-003	
1.22835e-001	5.24443e-003	
1.70739e-001	6.60995e-003	
1.74664e-001	6.84232e-003	
2.02150e-001	6.11586e-003	
2.21782e-001	4.19814e-003	
1.35787e-001	5.82516e-003	
1.60917e-001	6.72580e-003	
1.78586e-001	4.95335e-003	
1.67590e-001	6.14455e-003	
1.91541e-001	5.09848e-003	
2.03713e-001	5.94101e-003	
1.40493e-001	6.46393e-003	
1.68371e-001	4.77865e-003	
1.58161e-001	4.98196e-003	
1.15752e-001	5.33055e-003	
1.74650e-001	2.27966e-003	
1.53838e-001	4.57496e-003	
2.09203e-001	3.32551e-003	
1.93102e-001	5.12686e-003	
2.45718e-001	1.95975e-003	
2.48073e-001	4.42939e-003	
2.43753e-001	6.46319e-003	
2.25297e-001	2.25008e-003	
2.22154e-001	5.53327e-003	
1.64432e-001	5.47508e-003	
1.64430e-001	8.87448e-003	
2.09193e-001	5.41682e-003	
1.55004e-001	6.98574e-003	
1.42438e-001	5.32951e-003	
1.04741e-001	4.77738e-003	
1.50682e-001	3.87659e-003	
1.18475e-001	5.64873e-003	
1.98578e-001	6.11354e-003	
1.70305e-001	6.31686e-003	
1.69911e-001	5.38701e-003	
1.60486e-001	4.48622e-003	
2.07212e-001	3.38204e-003	
1.66374e-001	4.89284e-003	
2.23701e-001	7.71114e-003	
1.77366e-001	7.85634e-003	
2.46473e-001	5.44467e-003	
1.54982e-001	4.80538e-003	
1.85608e-001	7.56557e-003	
1.95031e-001	4.39846e-003	
1.51052e-001	6.46131e-003	
2.04060e-001	7.68156e-003	
1.34950e-001	6.63550e-003	
2.09555e-001	6.83881e-003	
1.86387e-001	6.89685e-003	
1.43585e-001	6.31566e-003	
1.64395e-001	9.19207e-003	
2.79445e-001	5.47291e-003	
1.71068e-001	6.34450e-003	
2.04051e-001	3.72944e-003	
1.73815e-001	6.28624e-003	
1.32977e-001	6.19899e-003	
1.72635e-001	5.67592e-003	
1.53786e-001	6.98334e-003	
1.44361e-001	7.79682e-003	
1.34543e-001	6.25681e-003	
1.07055e-001	5.47224e-003	
9.44889e-002	5.32689e-003	
8.85978e-002	3.55444e-003	
1.03911e-001	6.08218e-003	
7.09257e-002	5.73344e-003	
1.89509e-001	3.58327e-003	
1.84011e-001	5.44274e-003	
2.01679e-001	5.70416e-003	
1.64768e-001	5.38448e-003	
1.64767e-001	7.79600e-003	
1.58090e-001	5.64583e-003	
1.63979e-001	6.02347e-003	
1.35706e-001	3.14692e-003	
2.29159e-001	4.22189e-003	
1.69080e-001	3.93126e-003	
1.42378e-001	8.02799e-003	
1.38058e-001	5.26766e-003	
1.30989e-001	5.67436e-003	
1.78107e-001	5.70334e-003	
8.62226e-002	5.20932e-003	
1.44336e-001	8.43439e-003	
9.87856e-002	5.09295e-003	
1.10957e-001	6.48754e-003	
1.45903e-001	7.73684e-003	
1.49436e-001	7.15566e-003	
7.05093e-002	6.71976e-003	
1.00743e-001	3.98848e-003	
1.54537e-001	5.84795e-003	
1.17626e-001	7.30064e-003	
8.81746e-002	5.67346e-003	
3.35932e-002	2.97124e-003	
1.15659e-001	4.24960e-003	
1.36076e-001	7.85239e-003	
1.27829e-001	6.83538e-003	
1.98507e-001	5.87648e-003	
2.27563e-001	6.57373e-003	
1.78872e-001	6.22500e-003	
1.13689e-001	6.22492e-003	
2.04393e-001	7.21273e-003	
2.05570e-001	4.65578e-003	
1.98501e-001	7.64841e-003	
1.75332e-001	7.27062e-003	
2.20487e-001	5.96305e-003	
1.97712e-001	7.18330e-003	
1.70224e-001	6.13723e-003	
1.75720e-001	8.11292e-003	
2.16556e-001	6.16614e-003	
1.94959e-001	7.27017e-003	
2.01240e-001	4.85850e-003	
2.23621e-001	7.44435e-003	
1.62364e-001	3.81236e-003	
1.72965e-001	6.07860e-003	
2.00058e-001	4.56765e-003	
1.94167e-001	7.44405e-003	
1.95343e-001	9.71030e-003	
1.56076e-001	5.61342e-003	
2.63665e-001	5.81673e-003	
2.34999e-001	7.15320e-003	
1.89449e-001	8.92550e-003	
2.10259e-001	7.32739e-003	
1.87876e-001	5.11910e-003	
2.06330e-001	7.87929e-003	
1.80020e-001	5.38045e-003	
1.61564e-001	6.97842e-003	
1.62348e-001	6.13574e-003	
1.80802e-001	6.80394e-003	
1.90618e-001	4.76999e-003	
1.85905e-001	5.75780e-003	
1.48601e-001	7.55916e-003	
1.87866e-001	5.35088e-003	
1.76870e-001	7.47184e-003	
1.43493e-001	3.81079e-003	
1.62339e-001	7.38453e-003	
1.42312e-001	4.91475e-003	
1.31317e-001	1.83481e-003	
