Project Name	MedidasMartillo
Measurement Name	M2-Amarillo
User Name	Default USER

Creation time	5/22/2016 14:58:50
Analyzer	FFT1
Result type	H1
Response Name	[2]-Accel X
Reference Name	[1]-Hammer
Unit	RMS
Average Type	Linear
Average Number (#)	     3      
Average Domain	Spectral

   X_Value   	  Y_Module  	   Y_Phase   	
     Hz     	 (m/s²)/(N) 	      °      	
 1.38750e+002	1.09025e-001	-5.40714e+002	
 1.40000e+002	1.08930e-001	-5.40793e+002	
 1.41250e+002	1.08824e-001	-5.40902e+002	
 1.42500e+002	1.08605e-001	-5.41066e+002	
 1.43750e+002	1.08377e-001	-5.41054e+002	
 1.45000e+002	1.08025e-001	-5.41223e+002	
 1.46250e+002	1.07588e-001	-5.41161e+002	
 1.47500e+002	1.07382e-001	-5.41247e+002	
 1.48750e+002	1.06971e-001	-5.41119e+002	
 1.50000e+002	1.06589e-001	-5.41037e+002	
 1.51250e+002	1.06717e-001	-5.40871e+002	
 1.52500e+002	1.06632e-001	-5.40741e+002	
 1.53750e+002	1.06472e-001	-5.40636e+002	
 1.55000e+002	1.06496e-001	-5.40529e+002	
 1.56250e+002	1.06506e-001	-5.40460e+002	
 1.57500e+002	1.06513e-001	-5.40358e+002	
 1.58750e+002	1.06589e-001	-5.40343e+002	
 1.60000e+002	1.06619e-001	-5.40313e+002	
 1.61250e+002	1.06646e-001	-5.40237e+002	
 1.62500e+002	1.06671e-001	-5.40216e+002	
 1.63750e+002	1.06726e-001	-5.40241e+002	
 1.65000e+002	1.06841e-001	-5.40187e+002	
 1.66250e+002	1.06881e-001	-5.40275e+002	
 1.67500e+002	1.06879e-001	-5.40234e+002	
 1.68750e+002	1.06937e-001	-5.40257e+002	
 1.70000e+002	1.07055e-001	-5.40264e+002	
 1.71250e+002	1.07178e-001	-5.40277e+002	
 1.72500e+002	1.07152e-001	-5.40337e+002	
 1.73750e+002	1.07118e-001	-5.40338e+002	
 1.75000e+002	1.07140e-001	-5.40420e+002	
 1.76250e+002	1.07244e-001	-5.40519e+002	
 1.77500e+002	1.07270e-001	-5.40533e+002	
 1.78750e+002	1.07146e-001	-5.40692e+002	
 1.80000e+002	1.07240e-001	-5.40820e+002	
 1.81250e+002	1.07052e-001	-5.40933e+002	
 1.82500e+002	1.06926e-001	-5.41138e+002	
 1.83750e+002	1.06540e-001	-5.41239e+002	
 1.85000e+002	1.06361e-001	-5.41398e+002	
 1.86250e+002	1.05934e-001	-5.41336e+002	
 1.87500e+002	1.05530e-001	-5.41374e+002	
 1.88750e+002	1.04815e-001	-5.41343e+002	
 1.90000e+002	1.04547e-001	-5.41146e+002	
 1.91250e+002	1.04146e-001	-5.40845e+002	
 1.92500e+002	1.04147e-001	-5.40638e+002	
 1.93750e+002	1.04138e-001	-5.40390e+002	
 1.95000e+002	1.04277e-001	-5.40267e+002	
 1.96250e+002	1.04493e-001	-5.40048e+002	
 1.97500e+002	1.04735e-001	-5.40011e+002	
 1.98750e+002	1.04921e-001	-5.39951e+002	
 2.00000e+002	1.05226e-001	-5.39927e+002	
 2.01250e+002	1.05307e-001	-5.39975e+002	
 2.02500e+002	1.05447e-001	-5.39981e+002	
 2.03750e+002	1.05535e-001	-5.40056e+002	
 2.05000e+002	1.05729e-001	-5.40087e+002	
 2.06250e+002	1.05707e-001	-5.40184e+002	
 2.07500e+002	1.05793e-001	-5.40161e+002	
 2.08750e+002	1.05807e-001	-5.40299e+002	
 2.10000e+002	1.05884e-001	-5.40338e+002	
 2.11250e+002	1.05785e-001	-5.40418e+002	
 2.12500e+002	1.05782e-001	-5.40462e+002	
 2.13750e+002	1.05745e-001	-5.40549e+002	
 2.15000e+002	1.05660e-001	-5.40616e+002	
 2.16250e+002	1.05674e-001	-5.40725e+002	
 2.17500e+002	1.05484e-001	-5.40740e+002	
 2.18750e+002	1.05327e-001	-5.40773e+002	
 2.20000e+002	1.05144e-001	-5.40898e+002	
 2.21250e+002	1.04956e-001	-5.40965e+002	
 2.22500e+002	1.04902e-001	-5.41026e+002	
 2.23750e+002	1.04552e-001	-5.41047e+002	
 2.25000e+002	1.04370e-001	-5.41108e+002	
 2.26250e+002	1.04148e-001	-5.40981e+002	
 2.27500e+002	1.03700e-001	-5.41074e+002	
 2.28750e+002	1.03438e-001	-5.40934e+002	
 2.30000e+002	1.03244e-001	-5.40850e+002	
 2.31250e+002	1.03089e-001	-5.40724e+002	
 2.32500e+002	1.03056e-001	-5.40481e+002	
 2.33750e+002	1.02966e-001	-5.40380e+002	
 2.35000e+002	1.03067e-001	-5.40253e+002	
 2.36250e+002	1.03296e-001	-5.40077e+002	
 2.37500e+002	1.03395e-001	-5.40092e+002	
 2.38750e+002	1.03593e-001	-5.39974e+002	
 2.40000e+002	1.03669e-001	-5.40044e+002	
 2.41250e+002	1.03955e-001	-5.40029e+002	
 2.42500e+002	1.03949e-001	-5.40004e+002	
 2.43750e+002	1.04054e-001	-5.40033e+002	
 2.45000e+002	1.04116e-001	-5.40108e+002	
 2.46250e+002	1.04017e-001	-5.40162e+002	
 2.47500e+002	1.04051e-001	-5.40225e+002	
 2.48750e+002	1.04007e-001	-5.40316e+002	
 2.50000e+002	1.04125e-001	-5.40325e+002	
 2.51250e+002	1.04003e-001	-5.40350e+002	
 2.52500e+002	1.04050e-001	-5.40392e+002	
 2.53750e+002	1.03926e-001	-5.40406e+002	
 2.55000e+002	1.03963e-001	-5.40500e+002	
 2.56250e+002	1.03784e-001	-5.40541e+002	
 2.57500e+002	1.03725e-001	-5.40541e+002	
 2.58750e+002	1.03575e-001	-5.40552e+002	
 2.60000e+002	1.03601e-001	-5.40599e+002	
 2.61250e+002	1.03353e-001	-5.40718e+002	
 2.62500e+002	1.03220e-001	-5.40648e+002	
 2.63750e+002	1.03129e-001	-5.40732e+002	
 2.65000e+002	1.03128e-001	-5.40740e+002	
 2.66250e+002	1.02832e-001	-5.40750e+002	
 2.67500e+002	1.02765e-001	-5.40711e+002	
 2.68750e+002	1.02506e-001	-5.40697e+002	
 2.70000e+002	1.02329e-001	-5.40608e+002	
 2.71250e+002	1.02205e-001	-5.40590e+002	
 2.72500e+002	1.02049e-001	-5.40528e+002	
 2.73750e+002	1.02134e-001	-5.40554e+002	
 2.75000e+002	1.01980e-001	-5.40375e+002	
 2.76250e+002	1.01874e-001	-5.40328e+002	
 2.77500e+002	1.01779e-001	-5.40189e+002	
 2.78750e+002	1.01906e-001	-5.40139e+002	
 2.80000e+002	1.01984e-001	-5.40119e+002	
 2.81250e+002	1.02093e-001	-5.40093e+002	
 2.82500e+002	1.02176e-001	-5.40023e+002	
 2.83750e+002	1.02079e-001	-5.39990e+002	
 2.85000e+002	1.02232e-001	-5.40058e+002	
 2.86250e+002	1.02273e-001	-5.39992e+002	
 2.87500e+002	1.02322e-001	-5.40092e+002	
 2.88750e+002	1.02233e-001	-5.40056e+002	
 2.90000e+002	1.02368e-001	-5.40088e+002	
 2.91250e+002	1.02280e-001	-5.40099e+002	
 2.92500e+002	1.02137e-001	-5.40115e+002	
 2.93750e+002	1.02230e-001	-5.40210e+002	
 2.95000e+002	1.02145e-001	-5.40204e+002	
 2.96250e+002	1.02251e-001	-5.40231e+002	
 2.97500e+002	1.01944e-001	-5.40309e+002	
 2.98750e+002	1.01971e-001	-5.40254e+002	
 3.00000e+002	1.02004e-001	-5.40255e+002	
 3.01250e+002	1.01938e-001	-5.40375e+002	
 3.02500e+002	1.01888e-001	-5.40310e+002	
 3.03750e+002	1.01635e-001	-5.40400e+002	
 3.05000e+002	1.01612e-001	-5.40490e+002	
 3.06250e+002	1.01628e-001	-5.40440e+002	
 3.07500e+002	1.01517e-001	-5.40467e+002	
 3.08750e+002	1.01171e-001	-5.40556e+002	
 3.10000e+002	1.01216e-001	-5.40434e+002	
 3.11250e+002	1.00987e-001	-5.40426e+002	
 3.12500e+002	1.00864e-001	-5.40376e+002	
 3.13750e+002	1.00760e-001	-5.40591e+002	
 3.15000e+002	1.00659e-001	-5.40335e+002	
 3.16250e+002	1.00549e-001	-5.40282e+002	
 3.17500e+002	1.00406e-001	-5.40243e+002	
 3.18750e+002	1.00307e-001	-5.40260e+002	
 3.20000e+002	1.00178e-001	-5.40077e+002	
 3.21250e+002	1.00014e-001	-5.40099e+002	
 3.22500e+002	1.00290e-001	-5.40099e+002	
 3.23750e+002	1.00128e-001	-5.39922e+002	
 3.25000e+002	1.00111e-001	-5.39915e+002	
 3.26250e+002	1.00134e-001	-5.39867e+002	
 3.27500e+002	1.00118e-001	-5.40004e+002	
 3.28750e+002	1.00072e-001	-5.39836e+002	
 3.30000e+002	1.00020e-001	-5.39794e+002	
 3.31250e+002	9.99360e-002	-5.39927e+002	
 3.32500e+002	1.00328e-001	-5.39816e+002	
 3.33750e+002	1.00175e-001	-5.39819e+002	
 3.35000e+002	1.00049e-001	-5.39847e+002	
 3.36250e+002	1.00077e-001	-5.39867e+002	
 3.37500e+002	1.00045e-001	-5.39840e+002	
 3.38750e+002	1.00036e-001	-5.39784e+002	
 3.40000e+002	9.99511e-002	-5.39867e+002	
 3.41250e+002	1.00027e-001	-5.39941e+002	
 3.42500e+002	9.99267e-002	-5.39931e+002	
 3.43750e+002	9.99334e-002	-5.39944e+002	
 3.45000e+002	9.97194e-002	-5.39972e+002	
 3.46250e+002	9.98761e-002	-5.40105e+002	
 3.47500e+002	9.97997e-002	-5.40020e+002	
 3.48750e+002	9.96937e-002	-5.40041e+002	
 3.50000e+002	9.97156e-002	-5.40189e+002	
