BEGIN_HEADER
END_HEADER
BEGIN_INFO
Sampling_frequency	2.56000e+004
Number_of_tracks	2 
Number_of_points	108800 
Track	1 	2 	
Name	Hammer	Accel X	
Magnitude	Force	Acceleration	
Unit	N	m/s²	
Coef_A	1.00000e+000	1.00000e+000	
Coef_B	0.00000e+000	0.00000e+000	
Type	ANALOG	ANALOG	
RangePeak	3.00000e+003	2.02253e+002	
Coupling	ICP	ICP	
END_INFO
BEGIN_DATA
-3.21047e-001	9.11839e-003	
-3.10050e-001	7.75272e-003	
-2.88451e-001	8.10131e-003	
-3.17898e-001	6.82281e-003	
-2.82163e-001	7.05518e-003	
-2.56638e-001	7.54905e-003	
-2.69593e-001	9.14703e-003	
-2.59774e-001	7.51986e-003	
-3.52047e-001	7.54885e-003	
-3.20631e-001	6.03790e-003	
-3.50079e-001	7.78115e-003	
-3.53610e-001	7.51959e-003	
-3.58319e-001	8.36212e-003	
-3.86196e-001	1.16744e-002	
-3.18263e-001	6.82205e-003	
-3.50458e-001	8.07136e-003	
-3.67340e-001	5.25292e-003	
-2.99407e-001	5.83396e-003	
-2.74274e-001	7.40288e-003	
-2.97046e-001	6.53115e-003	
-2.77410e-001	8.12913e-003	
-3.31595e-001	7.72228e-003	
-3.20598e-001	6.18228e-003	
-3.25700e-001	7.25726e-003	
-3.44938e-001	9.34918e-003	
-2.60513e-001	6.41452e-003	
-2.86819e-001	6.12389e-003	
-3.92050e-001	7.57659e-003	
-3.57100e-001	7.72180e-003	
-3.20973e-001	5.48447e-003	
-3.35892e-001	7.66355e-003	
-3.43350e-001	7.02427e-003	
-3.51986e-001	7.08231e-003	
-3.83396e-001	7.40185e-003	
-3.69258e-001	7.05312e-003	
-3.87710e-001	6.44288e-003	
-3.67289e-001	6.06510e-003	
-3.48831e-001	5.80353e-003	
-4.24613e-001	7.69206e-003	
-3.83381e-001	7.80821e-003	
-3.89661e-001	7.02365e-003	
-3.86910e-001	5.48364e-003	
-3.64132e-001	4.37947e-003	
-3.95936e-001	8.12754e-003	
-3.70410e-001	6.18077e-003	
-4.12030e-001	8.15646e-003	
-3.86111e-001	6.96512e-003	
-3.86894e-001	8.70837e-003	
-4.10059e-001	8.27248e-003	
-3.13068e-001	6.90681e-003	
-3.58615e-001	8.27234e-003	
-2.83221e-001	8.64999e-003	
-3.05207e-001	7.92354e-003	
-3.16985e-001	7.51669e-003	
-3.34652e-001	7.05174e-003	
-3.60565e-001	6.64489e-003	
-3.20511e-001	3.39063e-003	
-3.59382e-001	7.48736e-003	
-3.15794e-001	7.51635e-003	
-3.18147e-001	7.28384e-003	
-3.65264e-001	5.80194e-003	
-3.06755e-001	6.70259e-003	
-3.26778e-001	6.99308e-003	
-3.48372e-001	7.13828e-003	
-3.56616e-001	8.35854e-003	
-3.32660e-001	4.61033e-003	
-3.38941e-001	6.26642e-003	
-2.70615e-001	7.13801e-003	
-2.84748e-001	1.05084e-002	
-3.11054e-001	8.59064e-003	
-2.81209e-001	7.74796e-003	
-2.80028e-001	7.31206e-003	
-2.38403e-001	7.19577e-003	
-2.84735e-001	7.16665e-003	
-2.98868e-001	5.80098e-003	
-3.17321e-001	5.10358e-003	
-3.17711e-001	7.36983e-003	
-2.93756e-001	7.02110e-003	
-3.36554e-001	1.01590e-002	
-2.97285e-001	6.32363e-003	
-2.93356e-001	6.90467e-003	
-2.98458e-001	7.74720e-003	
-2.49372e-001	5.62610e-003	
-3.19264e-001	7.31124e-003	
-3.27114e-001	9.19977e-003	
-3.29468e-001	5.77117e-003	
-2.80775e-001	5.24810e-003	
-2.56035e-001	5.91630e-003	
-3.18858e-001	7.19467e-003	
-2.88621e-001	5.88711e-003	
-2.98042e-001	7.57225e-003	
-3.66363e-001	7.65935e-003	
-3.60468e-001	8.00780e-003	
-3.23948e-001	7.42662e-003	
-3.10595e-001	7.13600e-003	
-2.89388e-001	7.42649e-003	
-2.59936e-001	8.90824e-003	
-1.97500e-001	7.42635e-003	
-2.92129e-001	5.01468e-003	
-2.98017e-001	8.67559e-003	
-2.95658e-001	5.21793e-003	
-3.12147e-001	7.74568e-003	
-3.00758e-001	8.15239e-003	
-2.60311e-001	9.72131e-003	
-2.89365e-001	8.67525e-003	
-3.11352e-001	6.96091e-003	
-3.23522e-001	7.86156e-003	
-2.92106e-001	6.75739e-003	
-3.49433e-001	8.64591e-003	
-3.39221e-001	9.34318e-003	
-3.05842e-001	5.36252e-003	
-3.44320e-001	6.98955e-003	
-3.30574e-001	6.11782e-003	
-2.87379e-001	6.32114e-003	
-2.64602e-001	9.98205e-003	
-2.95620e-001	7.30889e-003	
-2.46927e-001	7.71559e-003	
-2.69306e-001	5.79787e-003	
-2.94434e-001	8.32562e-003	
-2.59092e-001	4.80985e-003	
-2.97570e-001	6.34971e-003	
-3.26232e-001	1.00106e-002	
-2.91282e-001	7.01785e-003	
-2.81463e-001	8.52866e-003	
-3.16408e-001	5.36156e-003	
-3.08552e-001	1.10563e-002	
-3.50172e-001	5.94253e-003	
-3.62342e-001	6.46545e-003	
-3.69800e-001	6.52350e-003	
-3.80399e-001	6.49437e-003	
-2.99115e-001	7.88896e-003	
-3.21494e-001	6.55234e-003	
-2.83404e-001	6.20361e-003	
-3.36018e-001	7.13331e-003	
-3.37979e-001	3.12361e-003	
-2.89286e-001	3.84992e-003	
-2.34703e-001	3.93702e-003	
-2.59046e-001	4.19845e-003	
-2.55509e-001	5.56398e-003	
-2.33125e-001	4.60508e-003	
-2.69640e-001	5.56384e-003	
-2.95946e-001	8.73081e-003	
-2.61781e-001	4.83732e-003	
-2.46858e-001	8.64350e-003	
-2.45677e-001	5.97034e-003	
-2.85334e-001	5.53444e-003	
-2.72373e-001	6.02832e-003	
-2.83365e-001	6.72557e-003	
-3.24985e-001	7.53905e-003	
-2.40167e-001	7.65521e-003	
-2.37416e-001	7.77136e-003	
-2.73931e-001	7.36452e-003	
-3.41859e-001	6.11507e-003	
-3.13978e-001	3.84868e-003	
-2.53505e-001	5.62099e-003	
-3.04941e-001	4.22626e-003	
-2.60175e-001	6.37629e-003	
-2.79020e-001	5.96945e-003	
-3.28493e-001	7.10254e-003	
-3.09250e-001	6.63758e-003	
-2.67625e-001	2.71504e-003	
-2.46419e-001	7.16044e-003	
-2.77829e-001	6.69548e-003	
-2.88821e-001	8.11913e-003	
-2.60940e-001	7.50890e-003	
-2.80570e-001	4.92290e-003	
-1.91826e-001	7.62498e-003	
-1.87897e-001	5.56198e-003	
-2.35406e-001	5.96869e-003	
-2.40116e-001	7.15989e-003	
-2.39720e-001	9.83291e-003	
-2.03593e-001	5.79415e-003	
-3.01364e-001	6.66574e-003	
-2.02017e-001	8.37994e-003	
-2.62877e-001	8.43798e-003	
-2.53844e-001	7.45003e-003	
