10	0.034	7.69
20	0.057	12.76
21	0.061	13.66
22	0.065	14.56
23	0.07	15.68
24	0.075	16.81
25	0.084	18.84
26	0.093	20.89
27	0.103	23.16
28	0.115	25.91
29	0.128	28.89
30	0.14	31.67
32	0.162	36.82
34	0.174	39.67
36	0.163	37.08
38	0.143	32.39
40	0.122	26.96
50	0.067	15.02
100	0.034	7.64
200	0.031	6.91
300	0.032	7.16
500	0.035	7.86
1000	0.045	10.19
2000	0.057	12.69
3000	0.068	15.19
5000	0.085	19.05
10000	0.12	27.11
20000	0.169	38.02
30000	0.208	47.02
50000	0.275	62.55
